,queries,chartType
145,"stacked bar of count of nominals by nominal, colored by nominal",bar
57,"Line chart, Sum of Sales Forecast by Order Date",line
497,Show the total gross across genres over time,line
491,What is the nominal vs nominal ratio of all the zones,heatmap
109,How do the nominals of the cars from different nominals change with nominals?,line
996,different nominal,none
1370,in addition to that we see with the heat not try to cover the rest versus ice if the doctors,none
1172,,none
277,"Histogram of nominal, bin width of 500, min x axis 1500, max x axis 5500",bar
40,Show me a bar chart of the total nominalability of each nominal with a breakdown based on shipping time.,bar
1046," very low, drizzt has higher risk has hired",none
1225,can you make this into a heat map,heatmap
619,"create a stacked bar chart of the count of nominals by cylinder, group by nominal",bar
956,what's nominal,none
977,bless,none
313,show how nominal varies each nominal by nominal,line
589,"Show me scatterplots of nominal and woldwide gross for each title, by nominal",heatmap
202,What is the average nominal of each nominal divided by nominal?,bar
734,Average Worldwide Gross by Major Genre,bar
123,Create a scatterplot of nominal in columns and Sales in rows,heatmap
943,ana lorde,none
942,so the south is where your the quantitative are,none
454,Total ww gross by genre and nominal,bar
579,prod budget by gross for movies per genre,heatmap
768,Show average nominal by nominal broken out by each nominal,bar
1146,are you making seating chart of nominal versus nexus the doctor's filtered by southeast and high nominal rate,map
14,show me imdb rating versus nominal rating,heatmap
1236,why are you there already can you zoom in on the zoom app,none
1253,rt-10 you make a nominal map for area code,map
333,"For each nominal, average nominal Color by nominal",bar
952,i think we have an answer of this nominal needs more resources,none
756,"show me how each rating, broken down by nominal, affects the average nominal",bar
922,i thought we did that,none
649,total ww gross by genre and rating,bar
398,show time series plot of average nominal,line
666,ww gross over time by genre,line
728,Worldwide Gross through time for each Major Genre,line
1095,but most of them are pretty mix so we can draw any conclusions,none
801,Distribution of nominal,bar
485,Show a histogram of the number of movies by how long they are,bar
237,Show the scatter plot between horse power and nominal,heatmap
921,oregon state something about being in different nominals,none
312,visualize in scatter plot the Displacement and MPG by orgin,heatmap
1228,i can definitely see this is like kind of like jarvis,none
388,nominal between Jan 2016 and July 2017,line
125,create a series of bar chats for different nominals that represent average of nominal for different nominals,bar
243,"for nominal in USA, JAPAN and EUROPE show MPG vs Displacement ",heatmap
1214,babies r us,none
438,Draw the axes for AVG(Weight) vs Year,line
1010,cuz these people have more resources,none
874,,none
1368,which nominals of the us should be prioritized it seems like it heavy correlation between the two color coded more in the southwest or the southeast i mean and just the southern countries in general we were trying to mess around with my area size the heat the heat map so we see from this there's a heavy correlation in the southeast and most of the southern country is brisk and something we should prioritize without written resources,none
1369,in addition to that we noticed that,none
411,Plot nominal vs Horsepower,heatmap
257,show me the order count grouped by quantity,bar
656,avg nominal over time,line
421,"Plot the Count of cars vs Cylinders, colored by Origin, stacked by Origin",bar
927,how much of the suburban people are in nominal,none
631,"Show me a bar chart of total nominal by nominal, and stack the bars by nominal",bar
69,nominal amount per nominal amount by nominal,heatmap
100,show me the categorization of nominals,bar
456,"For each genre and rating, what is the total world-wide gross earnings?",bar
412,budget vs gross income across movie genres,heatmap
707,Compare AVG (Acceleration) with Cylinders. | Segregate the nominal by their nominal.,bar
374,Sum nominal in a bar chart,bar
1262,that's why,none
992,hospice,none
366,"For each nominal, plot a bar graph where each bar indicates the average nominal of each nominal",bar
376,show me average nominal based on nominal and nominal of nominal,bar
1322,and if it just delete them,none
975,naps panic,none
955,definition of social point,none
672,Create scatter graph of IMDB rating by Rotten Tomatoes Rating ,heatmap
440,Product Single Order Quantity Trend,bar
796,Distribution of car nominal,bar
598,Show me count of nominals by nominal,bar
1259,denise cazares dealing with three different things,none
549,Count Sub-Category Asc,bar
566,how many nominals are proudced by each nominal,bar
633,"Show me a series of scatter charts of nominal by nominal, one chart for each nominal",heatmap
486,Count movies by how long they are to the nearest 20 minutes,bar
461,"For each nominal, show a column chart of average nominal by nominal",bar
1276," i don't know, maybe chances specific far",none
173,What nominal had the lowest average nominal?,bar
71,total nominal by nominal and nominal,bar
139,average nominal over nominal,line
1006,okay was it supposed to be a reason for not nominal,none
1215,it seems like very high covid-19,none
773,Scatterplot Region X=Sales Y=Profit ,heatmap
1055,the northeast and probably 7 midwest and 5th,none
984,i really feel like this would have helped a lot,none
347,"give me wordwide gross versus nominal, colored by nominals",heatmap
1256,thank you for the appointment can you make a map of nominal versus nominal versus elderly population,map
444,Profit by State,bar
967,criminal cases,none
1301,can you make a map of nominals,map
834,are you smart,none
682,scatter plot showing nominal and IMDB ratings,heatmap
322,show scatter plot of accelration and horse power,heatmap
349,Show a count of movies binned by nominal in 20-minute increments.,bar
482,Give me a histogram of the number of movies by nominal,bar
783,Category Line Graph Sum(Sales) by Order date,line
209,"Create a scatter plot showing nominal vs. nominal, with each point colored by nominal",heatmap
879,us,none
931,what,none
667,total nominal by nominal and nominal,line
1041,treated right resources to poor people even though there's lower cases,none
1362,cheapest early baby,none
905,all right,none
1292,pro fitness in hauppauge,none
963,so let's try this combination mobile,none
1038,it's a question of privilege,none
46,Column Chart of Avg (Profit) by Segment vs each Ship Mode,bar
166,Plot nominal rating v.s. IMDB rating on a scatter plot.,heatmap
158,The nominal of nominal in each nominal,heatmap
722,Scatter Plot of Rotten Tomatoes rating by the IMDB rating.,heatmap
1102,you see how are the nominals difference how do you answer that,none
175,How many movies are there are of each nominal?,bar
168,"Compare the number of nominals in USA, Japan and Europe ?",bar
873,i do like that one,none
1104,okay,none
679,Scatterplot matrix of different U.S. nominals of nominal vs. nominal,heatmap
642,average nominal by nominal,bar
1020,kissing don't have access but then stayed,none
279,"Histogram of nominal, in 20 minute bands",bar
1050,what is that,none
1007,so,none
1127,i didn't say,none
1321,that's cool,none
465,Compare imdb rating to nominal rating,heatmap
635,"Show me a scatter chart of nominal by nominal, one chart for each nominal",heatmap
964,if you can,none
92,Make simple scatter plots of the Worldwide Gross versus Production Budget. Parameterize by Content Rating.,heatmap
1296,make a map of nominal versus,map
1243,arlington you make a heat map of,heatmap
552,Sum(Sales) 1 Sum(Profit) 2 by nominal render cluster,heatmap
600,Show me MPG vs Displacement colored by Origin,heatmap
1043,arrested,none
284,Scatterplot of Rotten Tomatoes Rating by nominalating,heatmap
1064,australia,none
359,show a histogram for order quantity,bar
590,Show Horsepower by Acceleration in a XYplot,heatmap
1204,sofia carson,none
711,How does AVG (Weight) evolve over the nominals?,line
789,chart average MPG to nominal,bar
1328,because a correlation with,none
172,What nominal had the highest average nominal?,bar
595,Show Me Acceleration vs. Horespower For each Model,heatmap
1224,don't you stuff too,none
1018,higher self of vulnerability,none
269,Plot average MPG by number of nominal,bar
900,or you,none
147,"vertical stacked bar of number of nominals by nominal, colored by nominal",bar
891,aldi's is the poorest,none
1203,if it says it can't find it sometimes it means you might already have the chart on the wall,none
587,"i want to see the average nominal of each nominal in a column chart, and grouped together by nominal",bar
391,Show nominal count by nominal in a bar chart,bar
364,Stack bar chart of SUM(nominal) vs. movie genre based on nominal,bar
788,show a stacked bar chart of number of vehicles to number for nominal grouped by nominal,bar
308,Plot count of cars by nominal,bar
986,why would it be no,none
1229,i think we just wanted to look into them i don't see what it is,none
1105,so what are you going to do now is basically,none
264,Plot count of nominals by grouped by nominal,bar
1342,can you remove the rockies from this chart,none
423,"Draw axes for the average of Horsepower vs Year, colored by Origin",line
260,Visualize average accelaration based on number of cyclinders a nominal has summed across different nominals,bar
1077,all might x,none
275,"Scatterplot, x axis nominal, y axis nominal, facet by nominal",heatmap
316,show nominal by nominal by nominal,bar
881,okay,none
1107,stop,none
820,okay,none
1080,how many cases are african american,none
37,Show me count of movies categorized by nominal,bar
167,"Plot the nominal versus nominal for individual movies, coloring each movie by its genre.",heatmap
1201,generalized chart chart of nominal versus nominal,none
828,party show me a map of nominal versus nominal,map
310,show scatterplot of cars nominal to nominal by nominal,heatmap
255,"Line chart showing Year on X Axis and Average Horsepower on Y Axis', 'Different lines for different Origin",line
546,Split nominal by nominal and Sum(Profit) render best,bar
395,Plot average nominal against cyliners,bar
301,"by nominal, draw a scatterplot of nominal and nominal, with nominal on the x axis",heatmap
726,Worldwide Gross relationship to Production Budget filtered by Content Rating,heatmap
957,so that's right,none
80,Average Production Budget by Year,line
1106,just keep,none
537,"For each nominal, draw a bar that has its average nominal as the height",bar
558,Sum(Profit) 1and Sum(Sales) 2 render cluster,heatmap
1070,have you decided,none
1005,nominal,none
108,Show how nominales are related to nominals by genre.,heatmap
48,Descending Column Chart of Count vs Sub-nominal,bar
283,"Line graph of total Worldwide Gross by Major Genre, across Release Year",line
443,Profit vs. Sales Cluster by Region,heatmap
375,show me the average nominal in a line chart,line
335,Display budget by gross of movies broken down by nominal,heatmap
186,Compare nominal vs nominal across different countries,heatmap
298,"draw a line chart of monthly nominal by order date, with a different colored line for each nominal",line
3,Cylinders count bar chart Color by nominal,bar
759,show me a line plot of sum of gross revenue for each genre over time,line
19,How does nominal relate to fuel economy for cars from Europe v. USA? ,heatmap
720,Line graph of nominal vs. average nominal,line
1258,i want you to come by,none
258,"select nominal, nominal from table group by(nominal)",heatmap
341,plot average nominal over nominal,line
851,cardinals,none
925,how much poison is a euro are in nominal and other partner at 9 probably,none
1114,kobe bryant pictures,none
91,"make a simple line chart of the average of the Production Budget as a function of  Release Year.  | use no symbols, use a 1 pt line, and use gridlines for both average and nominal.",line
473,"For each nominal, compare budget vs gross in a scatter plot",heatmap
181,Is there a relationship between IMDB rating and nominal rating?,heatmap
1284,nominal and nominal,none
632,"Show me a stacked bar chart of total nominal by nominal, stacked by nominal",bar
1004,kobe cases vs,none
1329,can you make a line chart of cases versus date colored by nominal and nominal,line
60,"Column chart, Average of nominal by nominal",bar
1268,put the wrong thing,none
1282,every type of mixed together,none
1045,that i should doesn't make sense,none
231,Show me the nominal versus nominal of each nominal,heatmap
660,"show me a bar chart of count by sub-nominal, highest count to lowest",bar
599,Show me Acceleration vs. Weight broken out by Origin,heatmap
493,What is the average nominal of different nominals on the nominals of transport,bar
1057,hi jen,none
780,show a line chart of semi nominal by nominal,line
236,what is the average MPG for different nominal,bar
1087,be quiet,none
602,"Show me the Average Horespower per nominal, trended by ascending nominals",line
1084,i don't think they are going to have a map then you just,none
311,show how MPG varies with nominal by different nominal,heatmap
464,Give me a line chart of average budget by nominal,line
697,"Stacked bar chart of gross for each nominal, by nominal",bar
1341,can you remove the rockies from this chart,none
647,imdb rating vs nominal rating by movie,heatmap
1082,how much is african american population are,none
561,Sum(Sales)  by Order Date split by Category render line asc,line
1147,can you make a heat map chart of nominal versus nominal filtered by southeast and higher nominal rate,map
685,Bart chart quantity vs. product type all orders,bar
959,ocho boner ability is one dimension of vulnerability to multiple stressors and shocks including abuse social exclusion natural hazards,none
1230,traxxas palmetto beach,none
538,Chart scatter plot of nominal by worldwide growth coded by nominal,heatmap
419,nominal vs nominal regarding movie rating,heatmap
1122,show battlebots baseball tournament,none
1346,like then city seems to be the midwest and the southeast,none
321,nominal to nominal,heatmap
692,Gross versus genre,bar
639,show me a bar chart of count by order quantity,bar
755,show me small multiples of average nominal for each nominal across different ratings,bar
1032,i guess he doesn't have it map of cases,none
1086,chris listen to us anymore,none
495,plot a histogram of the total count of orders,bar
1132,rt vicky heat map of nominal versus nominal,map
893,the date,none
1314,of the nominals,none
101,show me how the number of nominal is related to miles per gallon,bar
309,show nominal of cars by nominal for different orgin,heatmap
923,well i tried to but,none
702,show me the distribution of car nominal,bar
88,Make a simple bar chart of count of Titles versus the Running Time. | Extend axes to labels and use only Count or lateral gridlines.,bar
1065,it was an nominal provision,none
1138,are they can you make it visualization for mapping midwest rule and high nominal rate,map
1313,can you make a map of all nominal,map
1358,i just had a ride,none
1047,okay so i'm guessing is kissing a factor of it but,none
725,Worldwide Gross relationship to Production budget and Major Genre,heatmap
1188,no nominal,none
823,sol southwest,none
452,how does Rotten Tomatoes Rating change as nominalating?,heatmap
854,sonic shirt,none
937,how do you show a map of nominal,map
304,"by nominal, draw a bar chart of average nominal by split by nominal",bar
1044,play that does make sense,none
980,display effect,none
190,How many cars do each nominal manufacture?,bar
1295,make a map of nominal filtered by high nominal,map
559,Sum(Profit) x and Sum(Sales) y render cluster,heatmap
159,"Show me the average nominal for each movie type, broken down by nominal.",bar
1003,versus type,none
201,Create a scatter plot showing nominal vs. nominal,heatmap
65,count by sub-nominal distinct item ,bar
1247,truck companies pushing press conference oregon,none
867,i don't think we need this,none
640,nominal vs ww gross by movie and nominal,heatmap
1145,for which reason selfie,none
111,The distribution of the number of nominal of cars based on different nominals.,bar
350,How production budge changes over nominals?,line
961,a lack of limited access to critical services such as communication transportation power supply so basically nominal,none
528,"Groupby (Order Date) | For each Order Date, calculate sum of the nominal",line
885,hi screen cases,none
966,this by nominal cases versus,none
177,Which nominal had the fewest movies?,bar
414,Plot AVG(MPG) vs Cylinders,bar
494,how much is the nominal for nominal for each,heatmap
1279,we can look at it,none
512,"scatter plot of nominal vs nominal, colored by genre",heatmap
408,"Show average horse power across nominal, each nominal shown separately",bar
694,line graph of nominal for each genre for each nominal starting in 1995 to present,line
386,What product nominal has more orders placed?,bar
1139,access to the doctors for tonight,none
1186,this is what we need,none
303,"draw a histogram showing the count by order quantity, with a 2 order bin size",bar
302,draw a line chart of daily nominals,line
812,What is the average nominal of cars by nominal nominal?,line
991,does this app has,none
636,Show me a scatter chart of nominal by nominal,heatmap
115,what is the correlation between nominal and nominal?,heatmap
521,The distribution of the order quantity | Histogram,bar
330,Movie count based on nominal,bar
777,Linegraph SUM(Sales Forecast) by Order Date,line
509,scatter plot of IMDB rating vs Rotten tomatoes rating,heatmap
75,plot nominal amount by nominal amount,heatmap
336,Have cars gotten lighter over time?,line
1323,nicole,none
880,alaska and hawaii,none
1220,can you make a map of nominal and nominal,map
807,"how does MPG compare to nominal, broken out by nominal?",heatmap
442,Profit vs. Sales Cluster by Region,heatmap
1074,how many cases are in are there in 0 area with high nominal rate,none
446,average nominal by nominal ,line
596,Show cylinfers and AVG(MPG) in a bar chart,bar
194,How does mileage relate to cylinder count?,bar
673,Create timeline of nominal by nominal displayed by nominal,line
1196,read new message,none
560,Sum(Sales)  by Order Date split by Category render line ,line
223,create bar graph | axes are sub-nominal and count | order by descending,bar
1177,attributes,none
763,show me the average gross revenue of for each genrea,bar
1264,make a bar chart of southeast plus vero plus very high nominal rate,bar
120,Please show me a bar chart with the x-axis representing the number of nominal and the y-axis depicting the average MPG.,bar
744,Average Horsepower per nominal and nominal,line
897,nominals,none
51,Scatter Plot of Sales vs Profit,heatmap
169,What nominal of movie had the highest nominal for each nominal?,bar
1014,line chart of nominal,none
1037,are you show us a map of covid quantitative per nominal,line
634,Show me a scatter chart of nominal by nominal for each nominal,heatmap
133,"how does nominal relate to nominal for car nominals, small multiples by nominal",heatmap
1181,nominal lies we see the the southeast on the most,none
920,call noemi mazing like the data could be wrong with it couldn't get any data regarding it says what a coincidence,none
81,Sum(Worldwide Gross) grouped by Genre and sub grouped by Content Rating,bar
585,"plot all titles on a scatter plot chart by nominal an nominal, and color the dots by nominal",heatmap
270,"Mean nominal group by Cylinders and Origin, X axis Origin, Color Origin, Each plot Cylinders",bar
142,line chart of average nominal over time,line
198,What is the average nominal for each nominal?,bar
940,there's a little bit of coordination,none
1021,they're more scared of being sick cuz they can't afford to be sick,none
56,"Scatter plot, nominal by nominal",heatmap
1263,erica herman,none
547,Show Avg(Profit) by nominal asc,bar
1168,are you making map of nominal versus nominal,none
699,Relation between nominal and nominal for each nominal,heatmap
119,Please show me multiple correlation charts of nominals and nominals of cars based on their nominals.,heatmap
1237,zoom into this map,none
614,create a scatterplot of nominal vs nominal by nominal,heatmap
107,Show the trend in average nominals from 1995 to 2010.,line
581,Show me how many movies were made by nominal,bar
1012,i'll transportation communication,none
912,show me a map of nominal distribution,map
1185,can you make a heat map of nominal,heatmap
248,Scatter plot to show nominal on X axis and Acceleration on Y Axis,heatmap
1040,they have the privilege of being,none
993,nominal,none
12,How many heavy cars are in the dataset? ,bar
1108,make us some map,map
1143,i don't like the weather today,none
280,Scatterplot of Worldwide Gross by Production Budget with different colors by nominal,heatmap
73,total nominal by order date where nominal in 2016 or 2017,line
815,testing testing,none
1135,paul messina,none
204,What is the nominal for each date?,line
1338,let me try this can you remove grill from this map,none
49,Scatter Plot for each nominal of Profit vs Sales,heatmap
490,What is the average nominal of each nominal,bar
292,plot nominal by average nominal,bar
953,what is nominal race,none
87,plot a simple line chart that Sums the Worldwide Gross of major films versus nominal parameterized by Major Genre. | Do not use symbols and show only major gridlines. Extend the axis to the labels. ,line
1200,can you make a chart of nominal versus nominal,map
742,Avg nominal by Year,line
163,Plot the total nominal over time for each nominal.,line
47,Scatter Plot of Profit by nominal vs Sales,heatmap
98,show me nominal vs nominal,heatmap
1125,can you filter the map by nominal,map
553,Count Order Quantity asc render best,bar
737,Count by Creative Type,bar
745,Horsepower distribution by nominal,heatmap
403,Show distribution of nominal by nominal,bar
1318,map nominal by song,none
1079,grass,none
819,how to find your shirt map of meech,none
484,Count the movies by how long they are,bar
131,"average nominal by nominal, with small multiples by nominal",bar
1349,can we make a map of nominals,map
675,The distribution of nominal and nominal | Scatter plot,heatmap
654,average nominal over time,line
534,"groupby (nominal) | for each nominal, draw a scatter plot where a dot is located at (its nominal, nominal)",heatmap
215,"Create a stacked bar chart showing nominal and nominal, colored by nominal",bar
135,how does nominal relate to nominal for individual car nominals,heatmap
1290,hello,none
1062,go out more and kids get sick more often,none
1189,greenville covid-19,none
790,chart count to nominal,bar
404,Scatter plot of nominal across nominal,heatmap
439,Product Sales Revenue by Month,line
669,which nominals had the most movies?,bar
1118,discuss,none
435,Show me the average nominal by nominal where the order was placed,bar
890,how much people in the southeast nominal has practice doctor,none
1024,acela nicole driscoll i think different from cases,none
650,"show me a series of bar charts of average nominal, split by nominal, one chart per nominal",bar
195,What were the total nominal for each date in each nominal?,line
1331,give me the line chart of cases versus date colored by nominal + nominal,none
259,"select nominal, class from table group by nominal",bar
94,Make a simple scatter plot of Rotten Tomatoes Rating versus nominalating.   | Use only major gridlines.,heatmap
325,show nominal by count,bar
1198,can you make a heat map of nominal versus nominal,heatmap
1245,can you make a map of covid vs filtered by area tape,map
383,show me nominal by nominal and by nominal of nominal,heatmap
861,what is this,none
382,show me MPG by nominal and nominal in scatter chart,heatmap
268,plot the distribution of nominal v/s nominal ,heatmap
1351,can you make a map by nominal,map
1116,cornerstone church,none
746,Average MPG by nominal,bar
1151,namaste to jack in the box,none
1158,it is not by nominal,none
58,"Scatter Plot, Profit by Sales, on Region",heatmap
1260,can you make a bar chart of nominal versus nominal in elderly population,bar
736,Average Production Budget by Creative Type separated by Content Rating,bar
239,Through a visualization show average nominal of cars for each nominal from 1997 to 2011,line
593,Show me Average Acceleration grouped by nominal and broken out by Origin,bar
729,Yearly Worldwide Gross for each Major Genre,line
27,Which countries have the most cars in this dataset?,bar
620,create a bar chart of average nominal grouped by nominal | split splots by nominal,bar
126,Creare a scatterplot of nominal and nominal that represent different nominals ,heatmap
267,Visualize the distribution of nominals by nominal into 8 buckets,bar
288,plot nominal by average nominal | color by nominal,line
840,nominal,none
976,i really,none
556,Sum(Sales Forecast) by Order Date asc render best,line
839,are you can you make me a pie chart of nominal per,line
90,"make a simple, vertical bar chart of the average of Worldwide nominal as a function of the Major Genre.  | Alphabetize the Major Genre, use the color Blue for the bars and extend the grids to the labels only outside the chart.   | Make horizontal gridlines for the Average.",bar
830,how do you make a bar graph of highest nominal and highest nominal by nominal,bar
262,Trend for average nominal over time across different nominal,line
1029,already show a map of covid cases,map
